,Presentations slides,Tools to be made,Typos checked (From column E - L),,,,HARD ENTER,HARD ENTER,HARD ENTER,HARD ENTER,HARD ENTER,,,,
24,HUMAN CENTERED DESIGN,DEFINE,Affinity Mapping,"Affinity Mapping is a synthesis tool aimed at identifying insights from qualitative research, observations and findings. It involves organising key data points into clusters (called Affinities) that are logical, thematic, and consistent, and then discussing the clusters so that clear learnings and insights can emerge.","While Affinity Mapping is a great way to look for patterns and insights, it can be an exhausting exercise - What observations and data points should you consider? Are the clusters distinct enough? How macro or micro should the clusters be? What is the relationship between clusters? etc. Not all questions can be answered, and some can lead to confusion and inconclusive debate. It is important for teams to look at the exercise as something that requires iteration.",60 Min,"Organise research findings into buckets of information and themes that make sense.
Map emerging learnings and insights from patterns of information.
","Review the research: Ask team members to review data collected during research. Use sticky notes to document critical observations, quotes from users, data and facts, etc. Use one sticky note per data point.
Organise the findings: Each person should describe their individual notes, and start mapping them on a surface. As related points come up, the team should start forming clusters, group similar points and findings together.
Break clusters down: If at any point there seem to be multiple number of themes emerging under one cluster, this meta cluster should be broken down further into smaller clusters.
Define clusters: After all the information has been mapped, and clusters recognised, the team should discuss what each cluster means as a theme.
Discuss learnings: Finally, the team should review the clusters and discuss what they mean in terms of learnings and insights.
","Information for this exercise should be sourced from either secondary or primary research activities the team has conducted.
Observation, Quote, Data, Fact, these are the kinds of information that can be used by a team. Mentioning the source of the data (for example, the particular respondent, a blog, a particular expert, a particular train station, etc.) adds credibility to the notes shared.
Any information should be written down on a sticky note and mapped on a surface (like a wall). Each note should be complete, not too short or too wordy. One data point per sticky note.
‘Themes’ start emerging as grouping of similar or complementary information starts taking place. There is no one set rule for identifying a theme; it is a matter of making sure each theme is complete in itself, and that it makes basic conceptual, logical, and emotional sense.
If there are close connections or interdependencies between themes, describing that relationship is important.
Learnings and insights are derived from the information collected under each theme. A team needs to discuss what the information collected means for them.
","At the start: Have everyone spend time reviewing their research notes, and ask them to make a note of valuable information on sticky notes. One piece of information per sticky note.
During the exercise: Help teams form clusters, feel free to make suggestions regarding the creation of sub clusters. Help them define the emerging themes.
At the close: Have participants present and discuss their mapping and learning.
","Have the teams made a note of their key data points on sticky notes? Have you provided sources for at least the key ones?
Who will start in each team? How will you keep a check on what themes are emerging?
What clusters are starting to emerge? Can the team walk me through them?
Should any cluster be broken down further?
Has anything come up that felt new, surprising, refreshing? Consider using different coloured sticky notes to make a note of it.
Are there things that can sit under two or more themes? Are they represented in both clusters?
What are the most important themes that have emerged?
What do your themes mean for you? What are some of your key learnings and insights?
",,1,https://www.youtube.com/watch?v=R_vLIaUYHSo,Affinity Mapping | Playbook
25,HUMAN CENTERED DESIGN,DEFINE,ERAF Diagram,"ERAF Diagrams are often referred to as system maps. They are used to represent complex ecosystems that involve multiple Entities (people, organisations, systems) that are connected and therefore in Relationships with each other. Each Entity has a set of Attributes (features, roles, needs). Each Relationship may be described in terms of Flows (financial, material, informational, influence, skills, etc.) from one Entity to another.",Mapping ERAF Diagrams can get confusing for a system with multiple entities connected to each other.,30 Min,"Visualise a current ecosystem and describe its true nature.
Visualise a future ecosystem to imagine its potential nature.
","Identify entities: List down all entities known to be part of the system (or could be for a future system). Write their names on sticky notes, and park them (on the surface being used).
Define attributes: Describe key attributes of each of the entities, use one or more sticky notes to do this.
Describe relationships: Start connecting entities that are related. Provide space on the board in a way that the connecting lines do not get messy. Describe the relationships on sticky notes — key strengths, weaknesses, etc. As relationships get mapped, move the Entities around to create space. This will ensure the mapping is legible.
Describe flows: Describe specific nature of exchange between entities — human, material, informational, financial, influence, etc.
","‘Entities’ are the core parts and mechanisms of a system. They include users, communities, organisations, institutions, government agencies, etc.
‘Relationships’ describe how entities are connected with one another. They describe the nature of the connection.
‘Attributes’ are characteristics of an entity. Qualitative attributes could be names, brands, perceptions, whereas quantitative attributes could be age, size, cost, duration or any other measurable elements.
‘Flows’ help understand the nature of relationships between entities. They describe the movement of people, material, finance, information, etc. from one entity to another.
","At the start: Explain the activity to participants — take them through the different parts of the tool. Depending on whether it is being used for sensemaking to document current systems, or as part of ideation to imagine something new — engage with teams accordingly.
During the exercise: Help participants define various parts of the map, and visualise the map(s) in a clear and organised manner.
At the close: Have participants share their maps, and any interesting insights they may have come up with.
","Why do you want to use the ERAF map? Will it help you understand an existing system or imagine a new system?
Can you identify all the entities from the system you have studied?
What are the attributes or characteristics that can describe the entities?
What is the nature of the relationships between the entities? Can you show the connections?
After you have connected the entities, which entities are emerging as the most connected and critical?
What is the nature of the relationships, what kind of flows are taking place between the entities?
Are you capturing all kinds of flows — human, material, knowledge, financial, etc.?
Are you using different colours or line types to visualise different kinds of flows?
What are your most important learnings from the system mapping? What are some new things you may have learnt?
",,1,,
26,HUMAN CENTERED DESIGN,DEFINE,Insights & Opportunities,The most challenging part of sense-making is drawing insights from one's research. Insights & Opportunities is one way for teams to translate information into actionable insights that can be taken forward in the design process.,"Drawing insights is not a matter of using a particular tool — it requires reflection, collaboration, and willingness to iterate.",30 Min,"Translate key takeaways into insights.
Translate insights into opportunities.
","Select takeaways: Refer back to key themes and learnings (the takeaways) from Affinity Mapping or any other exercise done by the team for the first level of synthesis. Select the most important takeaways.
Reflect on takeaways: Once the takeaways have been selected, map them on the left most column. Then, for individual takeaways and for groups of takeaways, discuss what they mean for the design process.
Write down insights: As individuals first, and then as a team, write down insights based on the discussion. Insights are new and/or fundamental things one has understood, about the problem and potential solutions.
Expand into opportunities: To ease the transition into problem solving, frame some early opportunities as How Might We statements (see Design Challenge tool).
","‘Key Takeaways’ are the most important themes, learnings, and findings from the Affinity Mapping exercise.
'Insights' are new and fundamental things one has understood about a problem or opportunity, and potential solutions. These could be things about users, context, system, service, etc.
'Opportunities' are potential ways to approach solutions. They can be framed as “How Might We?” statements.
","At the start: Have everyone spend time discussing the key themes and learnings that came out of Affinity Mapping.
During the exercise: Help teams translate their findings and takeaways into insights first. Help them reframe the insights into opportunities.
At the close: Have participants discuss insights and opportunities.
","What were the key themes and learnings emerging from the Affinity Mapping exercise?
How would you know something is an insight? Are your insights reflecting fresh and fundamental thinking?
Do you want to look at insights first as individuals, and then as a group?
What opportunities emerge from the key takeaways and insights?
How can we translate opportunities into How Might We statements?
",,1,https://www.youtube.com/watch?v=cgDZ3rdlLO8,Beginners Guide to How Might We
27,HUMAN CENTERED DESIGN,DEFINE,Persona,"Personas are one of the most important tools within the world of human centered design. They are fictional ‘characters’ that represent a type of user or stakeholder for whom a solution has to be developed. A Persona is not a single demographic segment of users, but instead an archetype of a certain type of need, behaviour, and motivation, that may represent multiple people across demographic segments. Instead of designing for broad, anonymous segments, Personas help focus on real people and needs.","The quality of a Persona is dependent on a team's understanding of user needs, behaviours and motivations. There may be some struggle with regard to prioritising what to build since there is no way of quantifying the number of users represented by a Persona.",30+ Min,"Document critical needs, behaviours and motivations of target users and stakeholders.
Humanise target users and stakeholders as representative profiles.
","Find patterns: Based on research data, identify patterns emerging with regard to the types of users. These patterns are based on commonalities of needs, behaviours, and motivations.
Define persona: For a chosen type of user, list specific behaviours, motivators, and pain points.
Illustrate persona: Visualise a user type as a single individual that will serve as the representative face and voice of the type. Visuals need not be perfect.
Build more personas: Personas can be created for as many user types as the team feels necessary to consider for design.
","The ‘Name’ and ‘Relevant Demographics’ section is to be filled with basic details of the target user, such as age, gender, income, family size, occupation.
‘About’ helps add context to the Persona, humanising the profile as a real individual.
‘Broad Goals’ are key aspirations and motivations that describe the Persona's view on a specific aspect of life that is relevant to design (for example, goals relevant to financials planning and investment in life).
‘Specific Needs/Problems’ are the needs of the Persona, specific to the problem or opportunity being designed for.
‘Specific Behaviours’ are current actions that best describe the way the Persona engages with the problem or opportunity.
‘Specific Motivators’ are the key attitudes that drive the way the Persona engages with the problem or opportunity.
‘Specific Pain Points’ are the key issues and challenges that the Persona wants to avoid while engaging with the problem or opportunity.
‘Quotes’ are specific statements made by respondents during research that best capture the essence of the Persona.
","At the start: Make sure teams understand the exercise, and set context for the activity with examples.
During the exercise: Discuss the user types chosen by teams to convert into personas. Help them choose relevant and powerful data points for each section of the tool.
At the close: Have teams walk you through their personas, and discuss learnings from the exercise.
","Do you see any big patterns emerging in terms of types of users?
What are these types? How will you prioritise what personas to build?
Do you have enough information for chosen personas?
Do the types have specific enough needs and behaviours?
Do the personas have significantly different motivations and pain points?
Which do you think is the most important persona to design for?
Are there any specific quotes from the research you would like to highlight?
Along with the insights, what are the personas telling you? How are personas connected to the insights?
",,1,https://www.youtube.com/watch?v=jGhgA_kUFrA,Persona | DIY Toolkit
28,HUMAN CENTERED DESIGN,DEFINE,Journey Map,"Journey Map is a tool used at various points (research, design, and prototyping) of the design process. It is used to document different stages, touch-points, interactions and emotions a respondent goes through as part of an end-to-end experience. Journeys may differ for different kinds of users, and for different use cases of a product or service.","The use of the Journey Map tool is dependent on the designer's ability to accurately map all steps of an end-to-end experience, and focus on the details.",30+ Min,"Map products, services and systems as end-to-end user experience journeys.
Document current experiences for users.
Reveal opportunities for improving experience at each step.
Reimagine future experiences for users.
","Define the scope: Journey maps can be used to document end-to-end journeys, or a part of a journey. They may vary for different users/personas and for varied use cases. Decide what fits in scope.
Map the experience: Go through each step of the journey and map interactions and touch-points that are key to the experience. Next, based on the information gathered from users, map positive and negative experiences through the course of the journey. If imagining a new journey, map what is intended at each step.
Identify opportunities: Discuss how positive experiences can be elevated, and negative experiences addressed, at each stage of the experience.
","The ‘Timeline’ is the section meant to note the scope of journey being mapped, is it end-to-end or a part of the experience?
The ‘What do users do?’ section should be a description of key user activities and tasks at each stage of the journey.
The ‘What do users like/not like’ sections should describe positive and negative aspects of the user's experience at each step of the journey.
The ‘Opportunities’ section is meant to map ideas that either elevate positive experience, or address negative experience.
","At the start: Make sure participants understand the flow of the activity and the directions. Refer to facilitation questions if they are feeling stuck.
During the exercise: Help participants choose an appropriate journey to map. Assist them as they think through positive and negative aspects of the journey. Help them define opportunities at each step.
At the close: Have participants explain the flow of their journeys, and discuss opportunities identified.
","If our focus is on current experiences, do we have enough information to build journey maps?
Which user type or persona are you building the journey for?
Do you think the journey changes for another kind of user? Which other user type would you want to build journeys for?
What are the steps of the journey that we want to cover? Where does it start and end? Which steps are the clearest?
What does the user do at each of the steps; What are users required to do? What do they actually do?
Which parts of the experience were positive for the user? Why so?
Which parts of the experience were negative for the user? Why so?
What are the opportunities at each step? Which step do we think has the greatest potential for intervention?
What would be the ideal end-to-end experience journey?
",,1,https://www.youtube.com/watch?v=R_vLIaUYHSo,Journey Mapping | Playbook
29,HUMAN CENTERED DESIGN,DEFINE,Attribute Scale,"Attribute Scale is a tool that helps compare entities with regard to different product, service, and system attributes.","The use of Attribute Scale is dependent on a clear understanding of entities and attributes that need to be compared, and what the comparison will help uncover.",60-90 Min,"Map and compare the experience of current users with regard to different product or service attributes.
Map and compare attitudes and needs of potential users with regard to attributes of a future product or service.
Inform the build of personas and profiles, and map how different personas and profiles differ.
Compare organisations on different attributes; product features, service experience, brand perception, etc.
","Define scope: Start by defining the scope of the comparison exercise; what is being compared, who is being compared, why is the comparison important.
Map attributes, scale and entities: Make a list of attributes that are most important to map, and define relevant scales for each of the attributes. Next, select entities that need to be compared.
Map scores: Go attribute by attribute, and map each entity on the scales. Draw lines to connect scores on each attribute (for each entity).
Review patterns and discuss: Review emerging patterns, and discuss learnings and insights.
","‘Attributes’ are the qualities/features/offerings. For example, pricing, personalisation, digitisation, frequency of mailers, etc, - that teams may want to compare entities on. The choice of the number of attributes is flexible.
‘Scales’ serve as a measure for attributes. They are used to score entities, and are typically defined by two extremes points (low — high) or in terms of opposites (physical — digital).
‘Entities’ are those things that need to be compared. These could be users (for example, young, middle age, old customers), competitors (for example, startups, small companies, established companies), products and services (for example, different car models, apps, banking experiences), geographies (for example, rural, urban, peri urban), etc.
‘Scores’ are points on the attribute scales that best describe an entity.
Score lines connect scores of one entity across the different attributes, creating a visual path that can be used for comparison between entities.
Patterns are the visual trends that emerge once the mapping of score lines is complete.
","At the start: Make sure participants understand the goal of the activity and directions. Refer to facilitation questions if they are feeling stuck.
During the exercise: Start with a discussion on attributes and entities that need to be mapped. Ask the teams to define scales for each attribute. Guide them as they start to map scores, and draw score lines.
At the close: Have participants walk you through the worksheet, and discuss patterns and insights.
","What are you looking to map during this exercise? What will the attribute mapping help you achieve?
Are you clear on the attributes? How did you arrive at them?
Who are the entities; users, organisations, products, or something else? How did you choose them?
Are your scales for each attribute defined? How did you arrive at these scales?
How will you scope the entities? Individually or as a group?
Can you see patterns emerging as you draw the score lines? What do the patterns mean?
How has the comparison created clarity for the team?
",,,,
30,HUMAN CENTERED DESIGN,DEFINE,Design Principles,"Design Principles help build a shared team vision for a solution. They are rules and constraints that help teams decide what to do, and what not to do as they move towards a solution.","Defining design principles can be challenging. It is not easy to agree on what must and must not be done. Principles may be too idealistic and open ended, or too constrained. A team must be prepared to iterate on principles as new data and learnings emerge (especially after user testing).",30 Min,"Define the scope and intent of a solution.
Align a team's vision for a solution.
","List principles: As a team, review and discuss the questions in this list. The answers will form the basis of the principles. Not all questions need to be answered, only those that seem relevant.
Prioritise principles: After all the relevant boxes are filled, discuss and choose the top 5-7 principles that everyone agrees on.
","Design principles help guide teams as they look at creating products and services. Each question box in this activity is meant to encourage discussion.
‘Who We Must Focus On/Avoid’ should help a team prioritise the users and stakeholders they want to focus the solution on.
‘How We Must Act/Not Act’ should help a team define the kind of processes and systems they want to adopt.
‘Where We Must Act/Not Act’ should help a team define the geographical or topical focus of their solution.
‘When We Must Act/Not Act’ should help a team define the timescales — short or long term, periodic or continuous, etc. that they want to work on.
‘Why We Must Act/Not Act’ should help a team define their core mission.
‘Prioritised Principles’ should clearly call out the 5-7 strongest principles that the team agrees on.
","At the start: Have everyone review the questions as a team, decide whether they want to do the activity individually first and then do it as a group, or brainstorm together.
During the exercise: Help participants navigate any disagreement. Encourage participants to move forward if they are getting stuck on any question.
At the close: Have participants choose 5-7 principles to move forward with.
","What does the word 'principles' mean to you?
Can you list 2-3 principles that may be driving your organisation and teams right now?
Are you looking at organisational/programme level principles? Or at specific product and service principles?
As you are thinking through the questions, are there any in particular that strikes a chord? Are there any you are struggling with?
Where does the team have the most amount of consensus? Where in this process, is there disagreement amongst the team?
What are emerging as the most important 5-7 principles?
How will these principles help you in developing a solution?
",,,,
31,HUMAN CENTERED DESIGN,DEFINE,Value Proposition Canvas,"Value Proposition Canvas is a tool which helps ensure that a product or service is designed for what customers value and need. The Canvas in a sense helps develop the product-market fit. It is a complementary tool to the Business Model Canvas, and looks at two parts of that tool specifically — customer segments and value proposition.",Each customer profile/segment may need a unique value proposition. An overall proposition which is a combination of all the different versions may not be easy to define. Designers have to prioritise at some point.,90-120 Min,"Define a new product or service offering being developed from scratch, through the lens of customer needs.
Refine an existing product or service offering through the lens of what customers need and value.
","Familiarise yourself: Read through the template and discuss the maps (customer and value) and their sections.
Build the Customer Profile Map: Choose the customer persona or segment to build the customer profile map for. Start with the customer jobs  and then move to pains and gains.
Build the Value Map: Begin by detailing the product and service features that reflect the customer jobs. Next, move to gain creators and pain relievers.
Define Value Proposition: Summarise the overall value proposition. Do this for each customer profile, and summarise across profiles.
Review & Discuss: Review findings and discuss takeaways as a group.
","Customer Profile Map: This part focuses on the customers’ key characteristics and needs. A customer profile should be created for each customer segment/persona, as they may have distinct gains, pains and jobs and value propositions can be different for each. There are three sections within the customer profile map; 1) Customer jobs are the functional, social and emotional tasks (for example, for a small retailer these could be — accessing funds for investment, growing the business by increasing revenue and volume, expanding product portfolio etc.) that customers are trying to (or could) accomplish through the use of a product or service. 2) Gains are the benefits (for example, easy access to funds, low rates, low collateral etc.) that customers expect while going about the jobs. 3) Pains are the negative experiences, emotions and risks (for example, tedious documentation, multiple follow ups, bribes, etc.) that customers want to avoid while getting the jobs done.
Value Map: This part focuses on how one can design products and services to meet customer needs. Each part of this map relates back to the Customer Profile Map. There are three sections within the Value Map - 1) Products & Services - the solutions, in terms of features and systems (for example, business loans for retailers) that help customers complete the customer jobs. 2) Pain Relievers - things that can be included in the product or service to aid customers and reduce their pains (for example, pre approved amounts, minimal documentation, on site verification). 3) Gain Creators - things in the product or service that can help maximise customer outcomes and benefits (for example, business advice for retailers, custom payment terms, repayment bonuses).
Value Proposition: To be used to summarise the emerging value proposition (for example, easy to access and rewarding financial services for small retailers).
","At the start: Make sure participants understand the goal of the activity, and the direction. Refer to facilitation questions if they are feeling stuck.
During the exercise: Start with a discussion on how well teams understand their value propositions, and if they have considered unique propositions for each customer profile. Ask teams to refer to their customer personas, and business model canvases (if already developed) as they go about filling the canvas.
At the close: Have participants walk you through the filled out worksheet. Probe them on their final value propositions.
","Are you looking to define a new value proposition or improve on what exists currently?
How well do you understand your customers? Has your research covered enough ground to be able to map your customers?
How many different segments and profiles of users do you have? Do you wish to develop customer maps for each or do you want to focus on one?
Are you clear on what the customer jobs are? How are these reflected in terms of product and service features?
What is painful for your customers as they interact with your solution or existing solutions? How can you remove this pain?
What creates gain and benefit for your customers? How can you maximise this gain?
If your propositions for different customer groups are differing, how then will you prioritise?
As you build customer and value maps for each customer segment/persona, what is the overall value proposition that seems to be evolving?
How compelling is your overall value proposition for customers? How does the team feel about it?
",,,,
32,HUMAN CENTERED DESIGN,IDEATION,Design Challenge,"A Design Challenge provides necessary direction and constraints for meaningful solutions to emerge. Framed in the form of 'How Might We…?’ statements, Design Challenges help problem solvers think from a solution oriented lens. The quality of challenge statements framed reflects a team's understanding of problems and opportunities that are worth solving.","It is crucial that challenges reflect insights and learnings from research. Challenges that fail to do so risk derailing the solutioning process. Also, it is important to first list multiple challenges before focusing on a final set that seems relevant and exciting.",30 Min,"Translate a complex problem or opportunity into a clear solution oriented brief for solutioning.
Define constraints for brainstorming.
","Define the solution goal: Before defining specific challenges, outline a guiding goal for the solutioning exercise.
Define challenges: Translate the goal into a series of challenge statements, follow the general guidance provided in the template while defining HMWs.
Prioritise challenge: Build consensus on a relevant and exciting challenge that the team can rally around.
","The ‘Solution Goal’ captures the intended impact of the solution and who it will benefit. For example, improve experience by making interactions simpler for users who are not experts in technology use.
The ‘Opportunities’ are to be framed as How Might We (HMW) challenge statements. To frame HMWs, a team should look back at insights, learnings, and principles. Each HMW needs to be specific in scope. For example, HMW onboard to enhance the experience for users who may not be experts? Or HMW provide voice based guidance to users as a way to enhance experience?
The final ‘Design Challenge’ is a HMW statement that a team chooses to proceed with.
","At the start: Make sure teams understands the template. Ask them to keep their insights, learnings, and principles handy.
During the exercise: Help participants draw from their previous insights and learnings to frame the right Solution Goal and HMW statements.
At the close: Have teams walk you through their HMWs and final challenge, and discuss how they arrived at them.
","Does the team have a clear idea of what they are trying to achieve?
What problem are you solving and for whom?
What HMWs are you gravitating towards? Why?
Do any other HMWs come to mind?
Are the HMWs actionable? Should they be made more specific or perhaps be broader?
Which HMW do you feel is the strongest?
",,1,https://www.youtube.com/watch?v=cgDZ3rdlLO8,Beginners Guide to How Might We
33,HUMAN CENTERED DESIGN,IDEATION,First Idea + Crazy Idea,"A good warm up to more intensive brainstorming, this tool helps people voice their top of mind ideas — both logical and crazy. The tool is helpful to get people involved, to get them excited, and to clear their minds so that they are ready to problem solve further.",This activity is meant to be short and fun. Consider other ideation formats for longer brainstorming sessions.,15 Min,"Warm up before more intensive ideation sessions.
Document ideas that are simple and obvious.
Set the tone for creative, fun brainstorming.
","Brainstorm: Each individual should ideally come up with 1-2 ideas under each category.
Discuss ideas: Review ideas and see if there are some clear themes emerging, or if any ideas stand out even at this stage, park them aside to take into account later.
","‘First Ideas’ should be about ideas that might feel obvious or simplistic but reflect the team's top of mind thoughts on how to proceed on the solution.
‘Crazy Ideas’ are playful, big bold, or just wacky ideas that get people excited, and set the tone in terms of what a team considers as radical steps.
","At the start: Set the context for the activity, ask teams to organise two sections on a surface where ideas can be parked.
During the exercise: Get participants to think big and encourage playful and practical ideas alike. Contribute ideas that you may have.
At the close: Have participants walk through their ideas, and discuss interesting themes emerging.
","What problem are you solving for and for whom?
Who has the most number of crazy ideas?
What are your top 1-2 ideas as individuals?
What are some themes emerging from the ideas?
",,1,https://www.youtube.com/watch?v=YXZamW4-Ysk,Brainstorming Techniques | Sprouts
34,HUMAN CENTERED DESIGN,IDEATION,SCAMPER,"SCAMPER is a tool that was first conceptualised as an aid for creative thinking by children. Today, it is widely used as an aid for problem solving. The tool lists seven potential strategies for solutioning.","The SCAMPER tool is a great way to approach changes to an existing product to service, which may seem incremental. It may be a limited tool when it comes to identifying breakthrough ideas.",30 Min,"Brainstorm on ideas to improve a current product or service.
Think through the dimensions of an idea.
","Note the challenge: Make a note of the final design challenge to focus on. Keep personas and insights handy.
Brainstorm: Go step by step and list as many ideas as possible, individually and as a group.
Discuss the ideas: Discuss and choose ideas that seem most relevant.
","The ‘Substituting’ box is meant for ideas that look at substituting or changing a certain part of the product, service or system to solve the problem.
The ‘Combining’ box is meant for ideas that look at combining two or more parts of the product, service or system to solve the problem.
The ‘Adapting’ box is meant for ideas that look to adapt/alter/adjust certain parts of the product, service or system to solve the problem.
The ‘Modifying’ box is meant for ideas that either maximise or minimise existing parts of the product, service or system to solve the problem.
The ‘Putting’ or 'Put to Another Use' box is meant for ideas that use one or more parts of a product, service or system in another way to solve the problem.
The ‘Eliminating’ box is meant for ideas in which a part of the product, service or system can be eliminated in order to solve the problem.
The ‘Rearranging’ box is meant for ideas where parts of a product, service or system are rearranged to solve the problem.
","At the start: Make sure everyone understands the different boxes in the template.
During the exercise: Have everyone work on their own ideas, consider timing sessions (3-5 min) for individual brainstorming under each strategy. Encourage group brainstorming at the end of each session (5-7 min).
At the close: Have teams share their most impressive ideas, and discuss emerging patterns.
","Are we clear about the seven solutioning strategies under SCAMPER?
Would you like to go over each strategy one by one, or would you want to think for all at one go?
Do you want to start with individual brainstorming? Or would you like to brainstorm in a group?
What are some patterns emerging under each of the strategies? What are some big ideas that you see as a group?
Which are your best ideas? How are you choosing them?
",,1,https://www.youtube.com/watch?v=im0IOXxXmFU,Improvement Triggers | DIY Toolkit
35,HUMAN CENTERED DESIGN,IDEATION,What If,"What If is a tool that helps teams come up with new ideas by exploring some basic formats. In a sense, the tool is a solution oriented version of the POEMS tool that is used for observation of a current ecosystem.","What If is useful as a tool to kick start ideation, but it allows for only limited kinds of ideas to emerge. Teams should ideally follow up with other tools that ensure they are covering multiple directions.",20 Min,"Identify ideas that cover a healthy range of possibilities.
Make ideation a focused yet enjoyable exercise.
","Note the challenge: Make a note of the final design challenge to focus on. Keep personas and insights handy.
Brainstorm: Think of as many ideas as possible, individually and as a group. Write ideas down on sticky notes and park them in relevant columns.
Choose ideas: Discuss ideas that seem frequent, unique, and relevant. Choose ideas to take into prioritisation.
","‘Physical Object or a Thing’ is where ideas that take the form of a physical object or product or space, are to be parked.
‘Service or Process’ is to note down solutions that take the form of services or systems which users can interact with.
‘A Person or a Set of People’ is to capture solutions that may depend on the introduction of new people, or having currently available people do things differently.
‘A Digital Interaction’ is to capture ideas in which the solution takes the form of a website or application that the user interacts with.
‘A Piece of Communication’ is to make note of any messaging or communication that forms part of the solution.
","At the start: Make sure participants understand the flow of the activity and the direction. Refer to facilitation questions if they are feeling stuck.
During the exercise: Get the participants to think through each type of solution. Encourage brainstorming that is bold, practical and playful.
At the close: Have participants take you through their ideas, and discuss any interesting patterns that may be emerging.
","Can you think of at least one solution under each of the different categories?
Do you want to start individually first, and then discuss as a group?
Are there any other forms that you can think of that aren't listed in the template?
Is there anything interesting you can take away from these ideas? Are there any patterns emerging?
Are there ideas that are a combination of two or more forms?
",,1,,
36,HUMAN CENTERED DESIGN,IDEATION,Concept Prioritisation,"The Concept Prioritisation tool helps teams prioritise the ideas they have come up with during brainstorming sessions. While a team may choose to simply vote on ideas and choose those with the highest votes, the tool here helps them consider various factors before a final choice is made.","Going through a detailed prioritisation exercise can be a cumbersome and exhausting experience. An alternative to using an extensive grid, is using a simpler 2x2 grid or getting teams to vote on favourite ideas.",15 Min,"Evaluate ideas using diverse and logical criteria.
Build consensus on ideas to take forward into prototyping
","Define the criteria: Define the final set of criteria to evaluate ideas on — predefined or custom.
Down-select ideas: As a team, choose a set of ideas from all the different brainstorming activities the team may have done. Bring similar ideas together as one single idea.
Score ideas: Assign scores (1-5 or Low, Medium, High) to each idea, individually or as a group. You may choose to assign different weights to the criteria, this makes the exercise even more robust.
Rank and review the ideas: Tally the scores, and see which ideas rise to the top. Discuss top ideas with the team.
","On the left hand side, list the different criteria that are to be used for prioritisation. Teams should ideally use a mix of pre-defined criteria, and custom or self defined criteria. The ideas that have to be evaluated need to be mapped on the columns.
‘It Solves for the Problem or Opportunity’ is the criteria that focuses on how well an idea addresses the core problem or opportunity.
‘It Reflects the Insights and Learnings’ is the criteria that focuses on how rooted an idea is in the insights and learnings that have emerged from research.
‘Users will Find it Desirable’ is the criteria that focuses on whether the idea is something that will be welcomed by users.
‘The Team is Excited about it’ is the criteria that focuses on whether the idea is something the team is passionate about building.
‘Other criteria’ are those criteria that the team can specify themselves; costs involved, skills available, technology available, etc.. These could be some criteria to look into.
Scores under each of the criteria could be given individually (and then averaged or summed) or by the team as a whole. Allocation of weights to the criteria (for example to 50% to desirability, 20% to excitement, 30% to solves the problem) is a decision left to the team.
","At the start: Make sure participants have reviewed the tool. Help them choose a bunch of ideas from other brainstorming activities to bring into the prioritisation exercise.
During the exercise: Help teams score the ideas as they move across criteria.
At the close: Discuss the top ideas identified by each team.
","Can we go through all the previous brainstorming we have done, and choose the best ideas to bring into this prioritisation exercise? What are the top 10-12 ideas that we want to prioritise amongst?
Do the pre-defined criteria in the first column work for you? Do you want to add more?
Do you want to assign any weights to the criteria?
Which for your team, is the most important criteria? Do the weights reflect this?
How do you want to score the ideas? Are you using points or some sort of a scale (low-medium-high)?
Do you want to vote individually first, and then see what the sums/averages are? Or, do you want to assign scores as a group from the start?
Do we agree with the prioritisation? Have the best ideas made it to the top?
If you are not happy with your prioritisation, do you want to perhaps relook at the weights you may have assigned to the criteria?
",,1,,
